Sample,BPD24,TRP24
CTL0543,0.042637553,0.03012427
CTL0544,0.209586089,0.137844476
CTL0545,0.148665456,0.12689563
CTL0546,0.122940271,0.141610159
CTL0547,0.31147799,0.248556724
CTL0548,0.174883399,0.228597161
CTL0549,0.01189158,0.015298034
CTL0550,0.031376188,0.032911559
CTL0551,0.056968771,0.042520807
CTL0552,0.016008434,0.018003959
CTL0553,0.05796745,0.040979251
CTL0554,0.208561219,0.262702304
CTL0555,0.034409714,0.02585221
CTL0556,0.031602345,0.014950211
CTL0557,0.261653392,0.112237925
CTL0558,0.144971841,0.09497772
CTL0559,0.116491736,0.062891526
CTL0560,0.165582134,0.116643747
CTL0561,0.074871471,0.060125404
CTL0562,0.280892811,0.297676889
CTL0563,0.059933864,0.062412165
CTL0564,0.066711487,0.047843928
CTL0565,0.416351319,0.364582287
CTL0566,0.949029759,0.622222715
CTL0567,0.637023562,0.466148672
CTL0568,0.260017483,0.32768307
CTL0569,0.204663642,0.217467471
CTL0570,0.231173965,0.242652081
CTL0571,0.273467167,0.300879172
CTL0572,0.219627868,0.174003325
CTL0573,0.065038715,0.063057914
CTL0574,0.713044088,0.623922045
CTL0575,0.109004301,0.113266497
CTL0576,0.103569051,0.112653717
CTL0577,0.011682265,0.007212323
CTL0578,0.019544514,0.036438008
CTL0580,0.013738384,0.019976534
CTL0581,0.146961872,0.149064505
CTL0582,0.054612668,0.042710049
CTL0583,0.077393223,0.041854271
CTL0583A,0.08868037,0.091507556
CTL0584,0.051370598,0.058873973
CTL0585,0.12528886,0.12165453
CTL0586,0.103660116,0.106490969
CTL0587,0.079107773,0.066516439
CTL0588,0.146660346,0.120606961
CTL0589,0.014460225,0.010098243
CTL0590,0.14221293,0.107320795
CTL0591,0.037474574,0.031769895
CTL0592,0.011498162,0.010365533
CTL0592A,0.014820708,0.013648548
CTL0593,0.01659197,0.020205768
CTL0594,0.205407794,0.179841323
CTL0595,0.178483085,0.151555552
CTL0596,0.095374479,0.088685666
CTL0597,0.106133317,0.089726833
CTL0598,0.248648067,0.209734348
CTL0599,0.003741145,0.002960975
CTL0600,0.076650383,0.061366499
CTL0601,0.003657533,0.003050723
